yyyy-mm-dd hh:mm:ss,Power_kW,temp_C,solarRad_W/m2,Hour,Power-1,Power-2
01-01-2019 02:00,94.752,10.26083333,2.67475,2,87.99,88.677
01-01-2019 03:00,88.709,9.666666667,2.44425,3,94.752,87.99
01-01-2019 04:00,88.926,8.640833333,3.056333333,4,88.709,94.752
01-01-2019 05:00,89.539,9.093333333,2.426416667,5,88.926,88.709
01-01-2019 06:00,92.399,8.3925,2.46775,6,89.539,88.926
01-01-2019 07:00,99.188,7.6975,3.402833333,7,92.399,89.539
01-01-2019 08:00,106.739,7.696666667,66.3175,8,99.188,92.399
01-01-2019 09:00,105.838,8.685,216.0666667,9,106.739,99.188
01-01-2019 10:00,110.078,9.961666667,349.3166667,10,105.838,106.739
01-01-2019 11:00,107.257,11.29083333,441.9833333,11,110.078,105.838
01-01-2019 12:00,106.283,12.48083333,481.325,12,107.257,110.078
01-01-2019 13:00,108.882,14.08083333,463.5666667,13,106.283,107.257
01-01-2019 14:00,107.916,15.055,388.4333333,14,108.882,106.283
01-01-2019 15:00,106.191,15.81416667,265.3333333,15,107.916,108.882
01-01-2019 16:00,105.455,15.7225,116.13,16,106.191,107.916
01-01-2019 17:00,113.57,14.49,7.204833333,17,105.455,106.191
01-01-2019 18:00,103.995,14.13,1.358916667,18,113.57,105.455
01-01-2019 19:00,100.805,13.16083333,1.024666667,19,103.995,113.57
01-01-2019 20:00,99.72,12.58666667,2.354083333,20,100.805,103.995
01-01-2019 21:00,93.79,13.02583333,1.394,21,99.72,100.805
01-01-2019 22:00,88.765,12.035,0.9255,22,93.79,99.72
01-01-2019 23:00,87.695,11.66083333,0.844583333,23,88.765,93.79
01-02-2019 00:00,108.261,11.49833333,1.186333333,0,87.695,88.765
01-02-2019 01:00,105.474,11.14416667,0.844666667,1,108.261,87.695
01-02-2019 02:00,107.18,10.79083333,1.22775,2,105.474,108.261
01-02-2019 03:00,107.636,10.44833333,2.451,3,107.18,105.474
01-02-2019 04:00,105.547,10.28083333,2.940333333,4,107.636,107.18
01-02-2019 05:00,104.585,10.50916667,3.145666667,5,105.547,107.636
01-02-2019 06:00,108.683,10.19166667,3.171083333,6,104.585,105.547
01-02-2019 07:00,146.916,9.485833333,5.010583333,7,108.683,104.585
01-02-2019 08:00,191.87,9.899166667,67.535,8,146.916,108.683
01-02-2019 09:00,215.088,10.32,218.0333333,9,191.87,146.916
01-02-2019 10:00,243.252,12.59333333,348.025,10,215.088,191.87
01-02-2019 11:00,324.193,12.57416667,436.475,11,243.252,215.088
01-02-2019 12:00,267.701,12.99166667,473.125,12,324.193,243.252
01-02-2019 13:00,280.792,15.01333333,457.0416667,13,267.701,324.193
01-02-2019 14:00,294.921,14.22833333,386.5416667,14,280.792,267.701
01-02-2019 15:00,282.85,13.98833333,266.35,15,294.921,280.792
01-02-2019 16:00,263.802,13.29333333,115.0966667,16,282.85,294.921
01-02-2019 17:00,251.11,12.085,10.76683333,17,263.802,282.85
01-02-2019 18:00,206.061,11.01083333,4.197833333,18,251.11,263.802
01-02-2019 19:00,168.257,10.74583333,4.29725,19,206.061,251.11
01-02-2019 20:00,144.747,10.4725,3.925583333,20,168.257,206.061
01-02-2019 21:00,121.291,10.11,2.889833333,21,144.747,168.257
01-02-2019 22:00,108.311,10.15,3.962833333,22,121.291,144.747
01-02-2019 23:00,107.698,9.993333333,3.355833333,23,108.311,121.291
01-03-2019 00:00,120.159,9.7075,4.073833333,0,107.698,108.311
01-03-2019 01:00,113.308,9.424166667,3.33825,1,120.159,107.698
01-03-2019 02:00,108.948,8.835833333,3.315,2,113.308,120.159
01-03-2019 03:00,109.082,8.150833333,1.939083333,3,108.948,113.308
01-03-2019 04:00,107.953,6.75425,3.77675,4,109.082,108.948
01-03-2019 05:00,107.183,5.8405,3.576083333,5,107.953,109.082
01-03-2019 06:00,112.666,5.3895,2.634083333,6,107.183,107.953
01-03-2019 07:00,166.608,4.25825,3.404833333,7,112.666,107.183
01-03-2019 08:00,219.917,3.686916667,33.02358333,8,166.608,112.666
01-03-2019 09:00,253.489,3.586666667,124.2625,9,219.917,166.608
01-03-2019 10:00,268.065,3.7025,248.8416667,10,253.489,219.917
01-03-2019 11:00,398.686,5.44275,436.4,11,268.065,253.489
01-03-2019 12:00,312.761,7.8085,473.5916667,12,398.686,268.065
01-03-2019 13:00,306.111,8.758333333,457.1166667,13,312.761,398.686
01-03-2019 14:00,303.649,8.355833333,381.6166667,14,306.111,312.761
01-03-2019 15:00,289.562,8.859166667,258.4333333,15,303.649,306.111
01-03-2019 16:00,268.975,8.2825,112.475,16,289.562,303.649
01-03-2019 17:00,248.879,7.250833333,11.7975,17,268.975,289.562
01-03-2019 18:00,222.761,7.2075,2.51175,18,248.879,268.975
01-03-2019 19:00,176.514,6.8295,3.732416667,19,222.761,248.879
01-03-2019 20:00,154.605,6.448833333,4.28,20,176.514,222.761
