Date,Power_kW
01-01-2019 02:00,94.752
01-01-2019 03:00,88.709
01-01-2019 04:00,88.926
01-01-2019 05:00,89.539
01-01-2019 06:00,92.399
01-01-2019 07:00,99.188
01-01-2019 08:00,106.739
01-01-2019 09:00,105.838
01-01-2019 10:00,110.078
01-01-2019 11:00,107.257
01-01-2019 12:00,106.283
01-01-2019 13:00,108.882
01-01-2019 14:00,107.916
01-01-2019 15:00,106.191
01-01-2019 16:00,105.455
01-01-2019 17:00,113.57
01-01-2019 18:00,103.995
01-01-2019 19:00,100.805
01-01-2019 20:00,99.72
01-01-2019 21:00,93.79
01-01-2019 22:00,88.765
01-01-2019 23:00,87.695
01-02-2019 00:00,108.261
01-02-2019 01:00,105.474
01-02-2019 02:00,107.18
01-02-2019 03:00,107.636
01-02-2019 04:00,105.547
01-02-2019 05:00,104.585
01-02-2019 06:00,108.683
01-02-2019 07:00,146.916
01-02-2019 08:00,191.87
01-02-2019 09:00,215.088
01-02-2019 10:00,243.252
01-02-2019 11:00,324.193
01-02-2019 12:00,267.701
01-02-2019 13:00,280.792
01-02-2019 14:00,294.921
01-02-2019 15:00,282.85
01-02-2019 16:00,263.802
01-02-2019 17:00,251.11
01-02-2019 18:00,206.061
01-02-2019 19:00,168.257
01-02-2019 20:00,144.747
01-02-2019 21:00,121.291
01-02-2019 22:00,108.311
01-02-2019 23:00,107.698
01-03-2019 00:00,120.159
01-03-2019 01:00,113.308
01-03-2019 02:00,108.948
01-03-2019 03:00,109.082
01-03-2019 04:00,107.953
01-03-2019 05:00,107.183
01-03-2019 06:00,112.666
01-03-2019 07:00,166.608
01-03-2019 08:00,219.917
01-03-2019 09:00,253.489
01-03-2019 10:00,268.065
01-03-2019 11:00,398.686
01-03-2019 12:00,312.761
01-03-2019 13:00,306.111
01-03-2019 14:00,303.649
01-03-2019 15:00,289.562
01-03-2019 16:00,268.975
01-03-2019 17:00,248.879
01-03-2019 18:00,222.761
01-03-2019 19:00,176.514
01-03-2019 20:00,154.605
01-03-2019 21:00,122.502
01-03-2019 22:00,122.041
01-03-2019 23:00,112.824
01-04-2019 00:00,108.068
01-04-2019 01:00,104.213
01-04-2019 02:00,103.711
01-04-2019 03:00,104.144
01-04-2019 04:00,100.875
01-04-2019 05:00,101.308
01-04-2019 06:00,111.662
01-04-2019 07:00,142.521
01-04-2019 08:00,168.659
01-04-2019 09:00,216.295
01-04-2019 10:00,369.181
01-04-2019 11:00,324.437
01-04-2019 12:00,340.321
01-04-2019 13:00,325.577
01-04-2019 14:00,326.669
01-04-2019 15:00,335.033
01-04-2019 16:00,354.929
01-04-2019 17:00,341.378
